sub_bucket_id,gene
endothelial_cell_signature_louvain_11,RAP2B
endothelial_cell_signature_louvain_11,RAP2C
endothelial_cell_signature_louvain_11,RAPGEF1
endothelial_cell_signature_louvain_11,RAPGEF2
endothelial_cell_signature_louvain_11,RAPGEF3
endothelial_cell_signature_louvain_11,RAPGEF4
endothelial_cell_signature_louvain_11,RAPGEF6
endothelial_cell_signature_louvain_11,RASGRP3
endothelial_cell_signature_louvain_11,RGL1
endothelial_cell_signature_louvain_11,SERINC1
endothelial_cell_signature_louvain_11,SERPINI1
endothelial_cell_signature_louvain_11,SH3BP5
endothelial_cell_signature_louvain_11,SHANK3
endothelial_cell_signature_louvain_11,STXBP1
endothelial_cell_signature_louvain_11,SYT11
endothelial_cell_signature_louvain_11,TECPR1
endothelial_cell_signature_louvain_12,ADGRF5
endothelial_cell_signature_louvain_12,ADGRL4
endothelial_cell_signature_louvain_12,ANGPTL2
endothelial_cell_signature_louvain_12,CDH5
endothelial_cell_signature_louvain_12,CLDN1
endothelial_cell_signature_louvain_12,CLDN3
endothelial_cell_signature_louvain_12,CLDN5
endothelial_cell_signature_louvain_12,CYYR1
endothelial_cell_signature_louvain_12,ECSCR
endothelial_cell_signature_louvain_12,EMCN
endothelial_cell_signature_louvain_12,ENPEP
endothelial_cell_signature_louvain_12,EPHA3
endothelial_cell_signature_louvain_12,ERG
endothelial_cell_signature_louvain_12,ESAM
endothelial_cell_signature_louvain_12,ETV2
endothelial_cell_signature_louvain_12,F11R
endothelial_cell_signature_louvain_12,FAM107A
endothelial_cell_signature_louvain_12,FGD5
endothelial_cell_signature_louvain_12,FOXC2
endothelial_cell_signature_louvain_12,GJA4
endothelial_cell_signature_louvain_12,GJA5
endothelial_cell_signature_louvain_12,HOXA13
endothelial_cell_signature_louvain_12,HOXB5
endothelial_cell_signature_louvain_12,JAM2
endothelial_cell_signature_louvain_12,JAM3
endothelial_cell_signature_louvain_12,KDR
endothelial_cell_signature_louvain_12,LDB2
endothelial_cell_signature_louvain_12,LMO2
endothelial_cell_signature_louvain_12,MARVELD2
endothelial_cell_signature_louvain_12,MESP1
endothelial_cell_signature_louvain_12,MN1
endothelial_cell_signature_louvain_12,MYCT1
endothelial_cell_signature_louvain_12,NR2F2
endothelial_cell_signature_louvain_12,PALM2AKAP2
endothelial_cell_signature_louvain_12,PCDH12
endothelial_cell_signature_louvain_12,PCDH17
endothelial_cell_signature_louvain_12,PDPN
endothelial_cell_signature_louvain_12,PEAK1
endothelial_cell_signature_louvain_12,PLVAP
endothelial_cell_signature_louvain_12,PROX1
endothelial_cell_signature_louvain_12,PTPRB
endothelial_cell_signature_louvain_12,RERE
